Indicator,Disaggregation combinations using this value
# 11-5-1,1
# 12-5-1,1
# 13-1-1,1
#1-2-1,1
#1-2-2,1
#1-4-1,1
#1-5-1,1
#1-a-2,4
#10-1-1,1
#10-2-1,1
#10-4-1,1
#11-1-1,1
#11-2-1,1
#11-5-1,1
#11-6-1,1
#12-5-1,1
#13-1-1,1
#13-2-2,1
#15-1-1,1
#15-2-1,1
#16-1-4,1
#16-3-2,1
#17-1-1,1
#17-1-2,1
#17-19-2a,1
#17-3-1,1
#17-3-2,1
#17-8-1,1
#2-2-2,1
#2-4-1,1
#3-1-1,1
#3-1-2,1
#3-2-1,1
#3-2-2,1
#3-4-1,1
#3-4-2,1
#3-6-1,1
#3-7-1,1
#3-7-2,1
#3-8-1,1
#3-8-2,1
#3-9-3,1
#3-a-1,1
#3-b-1,1
#3-c-1,1
#4-2-2,1
#4-3-1,1
#4-4-1,1
#4-5-1,1
#4-6-1,1
#4-c-1,1
#5-3-1,1
#5-4-1,1
#5-5-2,1
#5-a-1a,1
#5-a-1b,1
#5-b-1,1
#6-1-1,1
#6-b-1,1
#7-2-1,1
#7-3-1,1
#8-1-1,1
#8-10-2,1
#8-2-1,1
#8-5-1,1
#8-5-2,1
#8-6-1,1
#8-9-1,2
#8-b-1,1
#9-2-1,1
#9-2-2,1
#9-3-1,1
#9-4-1,1
#9-5-1,1
#9-5-2,1
